timestamp,current,voltage,b1_voltage,b1_current,b1_smoothed,b2_voltage,b2_current,b2_smoothed,b3_voltage,b3_current,b3_smoothed
2025-06-19 20:44:11.484525,0.0,53.46,0.02,1.91,-999,0.1,1.29,-999,0.09,2.05,-999
2025-06-19 20:44:11.661628,0.0,53.46,0.02,1.95,-999,0.09,1.16,-999,0.09,2.09,-999
2025-06-19 20:44:11.844016,0.0,53.46,0.02,1.98,-999,0.09,1.18,-999,0.09,2.08,-999
2025-06-19 20:44:12.017200,0.0,53.46,0.02,2.0,-999,0.09,1.16,-999,0.09,2.04,-999
2025-06-19 20:44:12.191695,0.0,53.46,0.02,1.97,0.98,0.09,1.23,0.6,0.09,2.08,1.03
2025-06-19 20:44:12.337642,0.0,53.46,0.03,2.06,1.19,0.09,1.21,0.72,0.09,2.02,1.24
2025-06-19 20:44:12.525970,0.0,53.46,0.02,1.96,1.38,0.09,1.17,0.84,0.09,2.07,1.44
2025-06-19 20:44:12.662544,0.0,53.46,0.03,2.01,1.58,0.09,1.13,0.95,0.09,2.0,1.64
2025-06-19 20:44:12.840477,0.0,53.46,0.02,1.93,1.78,0.09,1.09,1.06,0.09,1.96,1.84
2025-06-19 20:44:13.013717,0.0,53.46,0.03,2.03,1.98,0.09,1.13,1.17,0.1,2.13,2.05
2025-06-19 20:44:13.146092,0.0,53.46,0.02,1.99,1.99,0.09,1.21,1.17,0.09,2.05,2.05
2025-06-19 20:44:13.278335,0.0,53.46,0.03,2.03,1.99,0.09,1.14,1.16,0.09,1.98,2.04
2025-06-19 20:44:13.412313,0.0,53.46,0.02,1.99,2.0,0.09,1.2,1.17,0.09,2.05,2.04
2025-06-19 20:44:13.545290,0.0,53.46,0.02,1.98,1.99,0.09,1.22,1.17,0.09,2.02,2.04
2025-06-19 20:44:13.690161,0.0,53.46,-999,-999,1.99,0.09,1.22,1.17,0.09,1.95,2.02
2025-06-19 20:44:13.830147,0.0,53.46,0.02,1.96,1.99,0.09,1.22,1.17,0.09,2.02,2.02
2025-06-19 20:44:13.962197,0.0,53.46,0.02,1.92,1.98,0.09,1.23,1.18,0.09,2.09,2.03
2025-06-19 20:44:14.093292,0.0,53.46,0.03,2.06,1.99,0.1,1.25,1.19,0.09,2.02,2.03
2025-06-19 20:44:14.225054,0.0,53.46,0.03,2.02,1.99,0.1,1.26,1.21,0.09,2.07,2.04
2025-06-19 20:44:14.357178,0.0,53.46,0.02,1.94,1.99,0.09,1.2,1.21,0.09,1.98,2.02
2025-06-19 20:44:14.489265,0.0,53.46,0.02,1.95,1.98,0.09,1.19,1.21,0.09,1.99,2.02
2025-06-19 20:44:14.620331,0.0,53.46,0.02,1.88,1.97,0.09,1.24,1.22,0.09,2.09,2.03
2025-06-19 20:44:14.757682,0.0,53.46,0.02,1.98,1.97,-999,-999,1.22,0.09,2.01,2.02
2025-06-19 20:44:14.890752,0.0,53.46,-999,-999,1.97,0.09,1.22,1.22,0.09,2.01,2.02
2025-06-19 20:44:15.028261,0.0,53.46,0.02,1.86,1.95,0.09,1.21,1.22,0.09,1.99,2.03
2025-06-19 20:44:15.160827,0.0,53.46,0.02,1.83,1.94,0.09,1.18,1.22,0.09,2.01,2.03
2025-06-19 20:44:15.293033,0.0,53.46,0.02,1.95,1.94,0.09,1.22,1.22,0.09,2.04,2.02
2025-06-19 20:44:15.420305,0.0,53.46,0.02,1.97,1.94,0.09,1.2,1.22,-999,-999,2.02
2025-06-19 20:44:15.558094,0.0,53.46,0.03,2.04,1.94,0.09,1.21,1.21,0.09,2.07,2.03
2025-06-19 20:44:15.690952,0.0,53.46,0.02,2.0,1.94,0.1,1.3,1.22,0.09,1.97,2.02
2025-06-19 20:44:15.824193,0.0,53.46,0.02,2.0,1.95,0.1,1.3,1.23,0.09,2.06,2.02
2025-06-19 20:44:15.957537,0.0,53.46,0.02,1.94,1.95,0.09,1.2,1.23,0.09,2.05,2.03
2025-06-19 20:44:16.089861,0.0,53.46,0.02,1.9,1.95,0.09,1.21,1.23,0.09,2.07,2.03
2025-06-19 20:44:16.222942,0.0,53.46,0.02,1.99,1.95,0.1,1.25,1.23,0.09,2.08,2.04
2025-06-19 20:44:16.356167,0.0,53.46,0.03,2.04,1.97,0.09,1.23,1.23,0.09,2.08,2.04
2025-06-19 20:44:16.490006,0.0,53.46,0.02,1.98,1.98,0.09,1.15,1.23,0.09,2.05,2.05
2025-06-19 20:44:16.622951,0.0,53.46,0.03,2.05,1.99,0.09,1.18,1.22,0.1,2.11,2.06
2025-06-19 20:44:16.755224,0.0,53.46,0.02,1.91,1.98,0.1,1.33,1.24,0.09,2.04,2.06
2025-06-19 20:44:16.888125,0.0,53.46,0.03,2.05,1.99,0.1,1.25,1.24,0.09,2.08,2.06
2025-06-19 20:44:17.020866,0.0,53.46,0.02,1.96,1.98,0.1,1.25,1.23,0.09,2.04,2.07
2025-06-19 20:44:17.161219,0.0,53.46,0.02,1.99,1.98,-999,-999,1.23,-999,-999,2.07
2025-06-19 20:44:17.300541,0.0,53.46,0.02,1.93,1.98,0.09,1.16,1.22,0.09,2.07,2.07
2025-06-19 20:44:17.437255,0.0,53.46,0.02,1.98,1.99,0.09,1.2,1.22,0.09,1.93,2.06
2025-06-19 20:44:17.570849,0.0,53.46,0.03,2.04,1.99,0.1,1.27,1.23,0.09,2.04,2.05
2025-06-19 20:44:17.707187,0.0,53.46,0.02,1.99,1.99,0.1,1.28,1.23,0.09,1.91,2.03
2025-06-19 20:44:17.845541,0.0,53.46,0.02,1.95,1.98,0.09,1.12,1.22,0.09,1.98,2.02
2025-06-19 20:44:17.982295,0.0,53.46,0.02,1.98,1.98,0.09,1.2,1.22,0.09,2.09,2.03
2025-06-19 20:44:18.119097,0.0,53.46,0.03,2.01,1.99,0.09,1.22,1.23,0.09,1.99,2.02
2025-06-19 20:44:18.255813,0.0,53.46,0.03,2.01,1.98,0.1,1.25,1.22,0.09,2.06,2.02
2025-06-19 20:44:18.392427,0.0,53.46,0.01,1.63,1.95,0.09,1.15,1.21,0.09,2.0,2.01
2025-06-19 20:44:18.533103,0.0,53.46,0.02,1.87,1.94,0.09,1.16,1.2,0.09,1.97,2.0
2025-06-19 20:44:18.667519,0.0,53.46,0.02,1.87,1.93,0.09,1.11,1.2,0.09,2.07,2.0
2025-06-19 20:44:18.807188,0.0,53.46,0.02,1.94,1.93,0.1,1.32,1.21,0.09,2.04,2.02
2025-06-19 20:44:18.940383,0.0,53.46,0.02,1.91,1.92,0.09,1.21,1.2,0.09,2.07,2.02
2025-06-19 20:44:19.073249,0.0,53.46,0.02,1.97,1.91,0.09,1.18,1.19,0.09,2.01,2.03
2025-06-19 20:44:19.206252,0.0,53.46,0.02,1.95,1.91,0.09,1.22,1.2,0.1,2.13,2.04
2025-06-19 20:44:19.339265,0.0,53.46,0.02,1.94,1.91,0.1,1.3,1.21,0.09,2.07,2.04
2025-06-19 20:44:19.473508,0.0,53.46,0.02,1.89,1.9,0.1,1.24,1.21,0.09,2.08,2.05
2025-06-19 20:44:19.605723,0.0,53.46,0.02,1.92,1.89,0.09,1.19,1.21,0.1,2.15,2.06
2025-06-19 20:44:19.737870,0.0,53.46,0.02,1.9,1.92,0.09,1.22,1.22,0.09,2.08,2.07
2025-06-19 20:44:19.873473,0.0,53.46,0.02,1.91,1.92,0.1,1.25,1.23,0.09,1.98,2.07
2025-06-19 20:44:20.005649,0.0,53.46,0.02,1.96,1.93,0.09,1.24,1.24,0.09,2.03,2.07
2025-06-19 20:44:20.136385,0.0,53.46,0.02,1.97,1.93,0.1,1.29,1.24,0.1,2.12,2.07
2025-06-19 20:44:20.268505,0.0,53.46,0.02,2.0,1.94,0.1,1.27,1.24,0.09,2.02,2.07
2025-06-19 20:44:20.400087,0.0,53.46,0.02,1.97,1.94,0.09,1.23,1.25,0.09,2.0,2.07
2025-06-19 20:44:20.530770,0.0,53.46,0.02,1.92,1.94,0.09,1.21,1.25,0.09,2.03,2.06
2025-06-19 20:44:20.661818,0.0,53.46,0.02,1.99,1.94,0.09,1.18,1.23,0.09,2.03,2.05
